date;respo;broker;address;ville;code_postal;asset_type;surface;surface_loue;occupancy_rate;name_rent;name_owner;annual_rent;annual_rent_sqm;annual_rent_sqm_pot;annual_rent_pot;price;prix_m2;surface_office
;ZK;Julien Mateos (bnp RE );2 avenue Pasteur ;Issy les Moulineaux;92130;Retail;1205;0;0%;; SEST IDF;;;250;301250;9000000;7469;
;EHB;Jerome Matias (bnpre);163 avenue Charles de Gaulle;Neuilly-sur-Seine;92200;Office;1680;1500;89%;;;570363;380;380;638400;12500000;7440;
;EHB;Dan Erith;122 rue Saint Denis;Paris;75002;Retail;949;495;52,16%;;;121649;246;420;398580;6500000;6849;
;EHB;Alexandre Filipe (Scamac);6 avenue Jean Jaurès;Montrouge;92120;Housing;340;0;0%;;;;;;;2210000;6500;
;EHB;Oscar Duclert;11-13 rue de l'Escaut;Paris;75019;Retail;1445;0;0,00%;;;;;;420000;8950000;6194;
;EHB;Josselin Garcia (Arthur Loyd);18bis rue de Villiers;Levallois Perret;92300;Office;5432;1792;33%; DATAWORDS;;567937;317;305;1656760;33000000;6075;
;EHB;Aurélien Rosset;87 Boulevard Poniatowski;Paris;75012;Office;705;705;100,00%; Ville de Paris;;181054;257;250;176250;3500000;4965;
;EHB;François Xavier d'Alançon;87-89 rue du Gouverneur Félix Eboué;Issy les Moulineaux;92130;Office;1651;1617;98%;;;421573;261;260;430413;7300000;4422;
;EHB;Matias Jerome;1 rue André Voguet;Ivry-sur-Seine;94200;Retail;1411;211,5;15%;;;25591;121;220;310332;4500000;3190;
;EHB;Jerome Mainguy;11 rue jean Mazet;Ivry-sur-Seine;94200;Office;7088;0;0%;; LFPI;;;180;1275840;21000000;2963;
;EHB;Pierre Etienne Maury;10 route Nationale 10 (RN 10) Lieu-dit l’Agiot;Elancourt;78990;Retail;550;550;100%; Courtepaille, Boulangerie le Petrin Ribeirou;;95000;173;170;93500;1600000;2909;
;EHB;Charles Albert;15 rue Francis de Pressensé;Saint Denis;93210;Light Industrial;2906;2906;100%; Isiprint, Egis, GDG ZAKA;;543970;187;190;552140;8200000;2822;
;EHB;Jérôme Mainguy; 46 48 rue Marcel Grosmenil;Villejuif;94800;Office;1483;1483;100%;;;350000;236;200;296600;4100000;2765;
;ZK;Pascal Voisin;15 av. Raspail;St maur des fossés;94100;Housing Promotion;555;0;0%;;;;; -; -;1250000;2252;
;EHB;Franck Poizat;42 rue du Commandant Rolland;Le Bourget;93350;Light Industrial;3077;3077;100%; SALINI;;482270;157;150;461550;6500000;2112;
;EHB;Julien Mateos;34 Rue Pierre et Marie Curie;Ivry-sur-Seine;94200;Office;1412;0;0%;;;;;210;296520;2900000;2053;
;EHB;Avidan Koubi (Kalstone);Rue de la Motte;Aubervilliers;93300;Retail;414;0;0%;;;;;180;74520;795000;1920;
;EHB;Sacha Danielian (CW);191 Aristide Briand;Cachan;94230;Office;9750;5441;56%;;;1156568;213;185;1803750;18000000;1846;
;;Geoffroy d’ARCHE (Evolis);11 bis rue Rabelais;Montreuil;93100;Light Industrial;1400;1400;100%; Artana;;202149;144;130;182000;2500000;1786;
;EHB;Geoffroy D'Arche;27 Bouelvard Hippolyte Marques;Ivry-sur-Seine;94200;Light Industrial;3604;0;0%;;;;;142;510000;6300000;1748;
;CDU;Jérôme Mainguy;7 rue Erik Satie;Bobigny;93000;Office;5839;5839;100%; Centre des impôts; Cofidy;920523;158;150;920523;10000000;1713;
