date;visite;respo;statut;broker;address;ville;code_postal;asset_type;surface;surface_loue;name_rent;name_owner;annual_rent;annual_rent_sqm;annual_rent_sqm_pot;annual_rent_pot;price;taux;prix_m2
11/26/18;non;EHB;0;Arnaud Hugonie;7 rue de la mare blanche;Noisiel;77186;Commerce;3233;0;;;;;56;180000;;;
23/11/2018;non;EHB;0;Jérôme Mainguy;4 Square Newton ;Montigny le Bretonneux;78180;Bureaux ;7288;7288;;;1497329;205;200;1497329;11120000;0;1526
11/22/18;non;EHB;4;Avidan Koubi (Kalstone);Rue de la Motte;Aubervilliers;93300;Commerce;414;0;;;;;180;74520;795000;0;1920
11/22/18;non;EHB;3;Ilan Feinsohn;11 rue des Lilas;Montreuil;93100;Commerce;1170;0;;;;;90;105300;1350000;0;1154
11/22/18;non;EHB;5;Ilan Feinsohn;43 avenue de la Croix Blanche;Aulnay-sous-Bois;93600;Commerce;1850;0;;;;;90;166500;1500000;0;811
11/22/18;non;EHB;5;Ilan Feinsohn;8 rue des fours;Thieux;77230;Commerce;1924;0;;;;;80;153920;1450000;0;754
22/11/2018;non;CDU;3;Jérôme Mainguy;7 rue Erik Satie;Bobigny;93000;Bureaux ;5839;5839;Centre des impôts;Cofidy;920523;158;150;920523;10000000;0;1713
22/11/2018;non;EHB;5;Jérôme Mainguy;1 place Copernic;Courcouronnes;91080;Bureaux ;5598;5598;Carrefour Banque;Fonds Israélien;1142621;204;200;1142621;12000000;0;2144
11/21/18;non;ZK;5;Avidan Koubi (Kalstone);24 Boulevard Edouard Vaillant;Aubervilliers;93300;Logements;665;;;;;;;;750000;;1128
11/21/18;non;EHB;5;Antoine Ronsseray;39-41 Boulevard Gallieni;Issy les Moulineaux;92130;Bureaux ;1041;0;;;;;350;364350;7000000;0;6724
11/20/18;non;ZK;5;Julian Burg (JLL);17 rue de l'Yser;Vitry sur seine;94400;Logements;1206;;;;;;;;1300000;;1078
11/16/18;oui;ZK;3;Julien Mateos (bnp RE );2 avenue Pasteur ;Issy les Moulineaux;92130;Bureaux & Logements;1205;0;;SEST IDF;;;250;301250;9000000;0;7469
11/16/18;non;EHB;4;François Xavier d'Alançon;87-89 rue du Gouverneur Félix Eboué;Issy les Moulineaux;92130;Bureaux ;1651;1617;;;421573;261;260;430413;7300000;0;4422
15/11/2018;non;EHB;3;Julien Badene;104 boulevard Diderot;Paris;75012;Logements & Commerce;1450;;;;;;;;;;
