id;date;asset_type;surface;latitude;longitutde;pricesqm
3;2018-03-05;Office;1680.0;48.88335;2.263787;7440.47619047619047619
4;2011-06-05;Retail;949.0;48.8647079;2.3503689;6849.315068493150684932
7;2015-12-15;Office;5432.0;48.88795;2.282259;6075.110456553755522828
8;2012-04-17;Office;705.0;48.8340992;2.403262;4964.53900709219858156
9;2015-02-20;Office;1651.0;48.8245027;2.2651916;4421.562689279224712296
10;2017-05-21;Retail;1411.0;48.81937;2.374111;3189.227498228206945429
12;2018-11-08;Retail;550.0;48.759677;1.955144;2909.090909090909090909
13;2012-02-22;Light Industrial;2906.0;48.9203822;2.363063;2821.748107364074328975
14;2018-11-03;Office;1483.0;48.7971657;2.3544611;2764.666217127444369521
16;2011-02-07;Light Industrial;3077.0;48.9334858;2.4430739;2112.447188820279493013
19;2017-01-09;Office;9750.0;48.7880915;2.3198295;1846.153846153846153846
20;2012-06-07;Light Industrial;1400.0;48.8624756;2.4387683;1785.714285714285714286
22;2008-05-15;Office;5839.0;48.9076793;2.4497881;1712.622024319232745333
23;2008-06-10;Light Industrial;7620.0;48.7718629;2.3701781;1574.803149606299212598
25;2014-01-11;Light Industrial;2610.0;48.853411;2.420341;1532.567049808429118774
26;2016-11-09;Office;7288.0;48.7920891;2.0442483;1525.795828759604829857
29;2017-06-19;Light Industrial;390.0;48.8009593;2.3055139;1435.897435897435897436
34;2016-08-06;Office;5332.0;48.8936412;2.0727077;1181.545386346586646662
35;2010-01-08;Light Industrial;3428.0;48.8975756;2.4062873;1166.861143523920653442
37;2015-05-20;Light Industrial;2286.0;48.6335351;2.5076435;1137.357830271216097988
40;2016-04-16;Light Industrial;2325.0;48.9256277;2.4080045;1075.268817204301075269
41;2014-11-06;Light Industrial;605.0;48.9267268;2.4191022;1074.380165289256198347
42;2008-11-06;Light Industrial;5500.0;48.6245113;2.3356794;1054.545454545454545455
43;2018-11-27;Light Industrial;982.0;48.9145941;2.4762199;1010.0
46;2012-02-20;Light Industrial;3050.0;48.6944875;2.334942;852.459016393442622951
48;2012-07-19;Light Industrial;4993.0;48.6063288;2.3667209;801.121570198277588624
49;2016-10-15;Light Industrial;1615.0;48.9502571;2.2084967;773.993808049535603715
50;2011-02-23;Light Industrial;2359.0;49.0479875;2.1404207;763.035184400169563374
51;2017-09-13;Light Industrial;2413.0;49.0479875;2.1404207;745.959386655615416494
53;2008-03-04;Light Industrial;2022.0;48.5324909;2.6796021;667.655786350148367953
54;2008-08-15;Light Industrial;3896.0;49.044451;2.145338;667.351129363449691992
55;2009-10-29;Light Industrial;4033.0;48.8952557;2.1868551;644.681378626332754773
57;2014-07-17;Light Industrial;5069.0;48.8323727;2.7254663;611.56046557506411521
58;2010-04-18;Light Industrial;3661.0;48.729897;2.320677;600.928708003277792953
59;2016-03-12;Light Industrial;5733.0;48.8702832;2.523832;586.080586080586080586
65;2014-11-13;Light Industrial;2469.0;48.9473453;1.9328563;607.533414337788578372
71;2013-02-17;Housing;553.0;48.8644163;2.2825959;10759.493670886075949367
75;2012-08-17;Light Industrial;1947.0;48.7948002;2.5460309;513.610683102208525937
76;2012-01-30;Light Industrial;6592.0;48.7108262;2.5772551;804.004854368932038835
77;2017-11-11;Light Industrial;6150.0;48.6487009;2.3792271;455.284552845528455285
78;2014-10-30;Light Industrial;867.0;48.7083212;2.5848521;1305.305651672433679354
79;2011-07-09;Office;1840.0;48.8186376;2.3043818;1521.739130434782608696
82;2012-08-28;Housing;445.0;48.8470575;2.4698803;3820.224719101123595506
83;2015-07-15;Light Industrial;2105.0;48.8943166;2.4511287;997.624703087885985748
85;2016-03-17;Light Industrial;865.0;48.7453852;2.2815567;1023.12138728323699422
86;2008-08-17;Light Industrial;5700.0;48.9207207;2.3767819;1403.508771929824561404
89;2009-02-16;Light Industrial;12720.0;48.8338561;2.5709163;466.745283018867924528
91;2008-02-11;Light Industrial;5069.0;48.8323727;2.7254663;611.56046557506411521
93;2011-05-26;Office;5598.0;48.630327;2.4123541;2143.622722400857449089
94;2011-07-20;Retail;280.0;48.8584645;2.4282313;2321.428571428571428571
95;2013-11-04;Office;1175.0;48.8746713;2.3957782;3914.893617021276595745
96;2018-10-20;Office;323.0;48.8789986;2.3333858;5417.956656346749226006
97;2010-06-24;Office;994.0;48.8872367;2.3267468;5935.613682092555331992
99;2015-04-25;Housing;2112.0;48.98635;2.311816;3551.136363636363636364
101;2014-01-10;Light Industrial;2491.0;49.0552153;2.1398351;562.023283821758329988
105;2014-04-16;Office;864.0;48.8414563;2.2394982;5208.333333333333333333
107;2016-10-01;Light Industrial;5000.0;48.5373205;2.6908097;500.0
112;2017-12-17;Housing;472.0;48.9166639;2.4057772;3072.033898305084745763
113;2014-01-12;Office;3297.0;48.9771926;2.4143638;879.587503791325447376
114;2010-04-16;Housing;1090.0;48.9332024;2.3355673;2568.807339449541284404
115;2008-01-15;Light Industrial;3353.0;48.6815253;2.1961029;835.073068893528183716
118;2016-11-20;Light Industrial;1108.0;48.8049801;2.2964789;1624.548736462093862816
125;2015-02-24;Retail;233.0;48.2653556;2.6961102;1673.819742489270386266
126;2015-01-09;Light Industrial;7417.0;48.521718;1.999601;539.301604422273156263
128;2018-06-27;Light Industrial;2517.0;48.6947361;2.3393643;715.137067938021454112
130;2018-05-22;Light Industrial;7600.0;48.7718629;2.3701781;3026.315789473684210526
131;2017-07-17;Light Industrial;7020.0;48.7992987;2.4737135;569.80056980056980057
134;2014-04-20;Housing;1149.0;48.7497761;2.4462965;604.873803307223672759
135;2016-04-28;Light Industrial;4968.0;48.9795115;2.6455999;664.251207729468599034
138;2015-01-03;Retail;5980.0;49.0219195;2.466121;772.575250836120401338
139;2008-12-26;Light Industrial;4013.0;48.6490537;2.39863;598.056316969847994019
142;2008-10-26;Housing;497.0;48.8905035;2.3527224;6036.217303822937625755
143;2017-05-03;Office;7653.0;48.8077108;2.3752703;1058.408467267738141905
144;2011-04-22;Light Industrial;3250.0;48.775832;2.2432879;1076.923076923076923077
146;2011-06-26;Light Industrial;997.0;48.5908445;2.3019113;1053.159478435305917753
147;2010-05-01;Office;1484.0;48.8543207;2.4166489;2358.490566037735849057
148;2018-02-06;Light Industrial;1023.0;48.7210753;2.2783792;2248.289345063538611926
149;2013-07-24;Light Industrial;3825.0;48.7027327;2.3404358;679.738562091503267974
150;2016-12-06;Housing;437.0;48.9365927;2.3538631;4233.409610983981693364
152;2017-10-01;Housing;258.0;48.9088198;2.2923745;6782.945736434108527132
154;2009-05-20;Light Industrial;706.0;48.6473265;2.3760152;1062.322946175637393768
156;2014-06-18;Light Industrial;2150.0;48.7033581;1.854824;232.55813953488372093
157;2008-07-08;Light Industrial;1530.0;48.6169151;2.4687768;555.555555555555555556
158;2014-04-28;Housing;576.0;48.9102966;2.268823;4687.5
159;2015-08-11;Retail;2140.0;48.6295046;2.4240945;2897.196261682242990654
160;2018-10-16;Light Industrial;3828.0;48.7114693;2.2539992;476.75026123301985371
161;2009-12-02;Light Industrial;864.0;48.9375126;2.2412024;979.166666666666666667
162;2015-09-16;Light Industrial;8209.0;48.7629633;1.9118366;523.206237056888780607
163;2011-11-15;Light Industrial;1276.0;48.7682284;1.9999758;689.655172413793103448
164;2009-03-13;Light Industrial;3441.0;48.9384031;2.3187218;813.716942749200813717
165;2012-04-01;Light Industrial;2893.0;48.8185157;2.3042507;1434.336674732111994469
167;2011-07-24;Light Industrial;559.0;48.797517;2.045488;1341.681574239713774597
168;2009-12-08;Light Industrial;743.0;48.7033581;1.854824;592.193808882907133244
169;2011-08-12;Light Industrial;1309.0;48.7060705;2.3268091;763.941940412528647823
170;2017-11-20;Light Industrial;1530.0;48.6169151;2.4687768;460.784313725490196078
171;2008-07-21;Light Industrial;706.0;48.6473265;2.3760152;991.50141643059490085
